Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Raiders,41.1,3000,73,49.1,70,3585,25,3,11,7,12,40,445,2,0
Niners,41,4306,105,47.3,74,4968,42,3,20,13,16,53,402,1,0
Chargers,40,3244,81,46.1,70,3735,36,9,15,9,19,29,311,0,1
Chiefs,39.5,3755,95,45.5,81,4322,27,5,12,9,19,50,387,1,1
Rams,39.3,3067,78,47.2,80,3684,18,5,8,9,8,48,437,0,0
Packers,38.8,2331,60,44.4,72,2664,18,9,7,11,14,19,113,0,2
Falcons,38.8,3417,88,43.4,63,3824,30,5,6,5,31,41,307,0,0
Cowboys,38.5,2424,63,47.1,64,2970,17,6,6,7,9,35,406,1,0
Texans,37.9,2085,55,41.8,59,2296,24,5,11,3,17,19,151,0,0
Steelers,37.8,2574,68,42.4,59,2880,28,9,12,2,14,31,266,1,0
Buccaneers,37.7,2902,77,43.9,61,3382,30,5,13,10,11,38,280,0,1
Bills,37.6,3046,81,40.8,75,3302,30,13,12,3,16,37,196,0,0
Broncos,37.5,2176,58,45.3,65,2630,17,7,11,6,3,31,334,2,2
Bears,37.2,3498,94,41.8,60,3934,29,13,12,10,19,40,236,0,0
Saints,37.2,2342,63,43.8,61,2757,20,9,4,4,11,35,335,1,0
Jets,37.1,2635,71,43.1,62,3063,25,6,12,8,13,32,268,0,1
Vikings,37,3001,81,44.7,70,3621,34,19,4,9,6,43,440,1,0
Patriots,37,1626,44,41.4,64,1821,13,10,6,6,8,14,75,0,1
Jaguars,36.9,1991,54,41.6,76,2249,14,11,9,2,4,28,218,0,0
Dolphins,36.6,2820,77,43.2,61,3327,10,11,14,6,7,39,387,0,0
Titans,36.5,2666,73,41.9,66,3060,25,8,12,6,16,31,274,1,0
Panthers,36.5,3359,92,43.9,64,4038,23,5,11,5,16,55,579,1,0
Giants,36.5,2592,71,40.4,60,2865,25,13,8,5,17,28,173,0,1
Ravens,36.4,2842,78,43.6,64,3397,20,8,7,9,16,38,375,0,1
Lions,36.4,2476,68,44.3,58,3010,26,13,5,5,9,36,434,0,0
Redskins,36.4,2730,75,41,64,3072,23,5,16,7,15,32,202,0,0
Browns,35.8,2467,69,42,64,2895,22,9,12,6,8,34,308,1,0
Bengals,35.2,2078,59,41.3,55,2437,21,3,10,3,10,33,299,1,0
Eagles,34.5,2517,73,42,65,3066,24,7,9,7,14,36,409,1,0
Seahawks,34.4,2954,86,40,62,3436,30,14,14,6,15,37,362,0,0
Colts,34.2,1776,52,41.9,63,2181,18,5,7,5,13,22,305,1,0
Cardinals,32.4,2562,79,40.5,61,3198,21,6,13,7,15,38,496,1,1
